MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	Pay	RT	Resp	ChosenSide	choice	Stay
0	1	1	0	1	0.2	0	0	0	0	1	96	1	446.830088272691	k	2	0	1
0	2	0.6	0	0.4	0.6	0	3	1	0	1	97	0.6	567.611852660775	j	1	0	1
0	1	0.8	0.2	1	1	0	1	1	0	1	98	0.8	521.220494061708	j	1	0	1
1	1	0.8	0.6	0.8	0.6	0	0	0	1	1	99	0.8	513.175755739212	j	1	0	1
0	2	0.4	0.4	0.6	1	1	2	1	1	1	100	0.4	400.886129587889	k	2	0	1
1	1	1	0.6	0.8	0.8	1	1	1	0	1	101	1	515.040339902043	j	1	0	1
0	2	0.6	0.6	0.4	0.8	1	1	1	1	1	102	0.6	342.335816472769	k	2	1	0
0	2	0.4	-0	0.6	1	1	0	0	1	1	103	0.4	718.697292730212	j	1	0	0
0	1	0.6	0.4	1	0.4	1	2	1	1	1	104	0.6	472.353516146541	k	2	0	1
1	1	0.6	0.8	0.6	0.4	0	0	0	1	1	105	0.6	472.794255241752	j	1	0	1
1	2	1	0	0.4	0.6	1	2	1	0	1	106	1	633.99706967175	k	2	0	1
1	1	0.8	0.2	0.6	0.6	1	1	1	0	1	107	0.8	541.0086940974	j	1	0	1
1	2	0.6	0	1	0.6	0	1	1	1	1	108	0.6	371.734263375401	k	2	0	1
1	2	0.4	0.4	0.6	0.8	0	0	0	1	1	109	0.4	405.456453561783	k	2	0	1
1	1	0.6	0.8	0.8	1	1	2	1	1	1	110	0.6	472.757430747151	k	2	0	1
1	1	0.6	0.4	0.6	0.4	1	0	0	1	1	111	0.6	376.080708578229	j	1	0	1
0	2	-0	0	0.4	0.6	0	2	1	0	1	112	-0	539.863662794232	j	1	0	1
0	2	0	0.6	-0	0.6	0	0	0	1	1	113	0.6	508.811349049211	j	1	1	0
0	2	0.2	0.2	0.6	-0	0	0	0	0	1	114	0.2	508.651480078697	k	2	1	1
0	1	1	0.4	0.6	0.6	1	3	1	0	1	115	0.4	654.264068230987	k	2	1	0
0	1	0.6	0.6	0.4	0.2	0	0	0	1	1	116	0.6	473.35328347981	k	2	1	1
0	2	0.2	0.8	0.2	0.6	1	2	1	0	1	117	0.8	472.416551783681	j	1	1	1
1	2	0.4	0	0.8	0.6	0	0	0	1	1	118	0	617.089627310634	j	1	1	1
1	2	0.2	0.6	0	0.8	1	0	0	0	1	119	0.6	429.313892498612	j	1	1	1
0	1	0.2	0.4	0.6	0.4	0	3	1	0	1	120	0.4	365.206383168697	k	2	1	1
0	1	0	0.4	0.4	0.6	0	0	0	1	1	121	0.4	456.549406051636	k	2	1	1
0	1	0.2	0.6	0.4	0.4	0	0	0	0	1	122	0.6	521.273199468851	k	2	1	1
1	1	0.6	0.6	0.6	0.4	0	0	0	0	1	123	0.6	552.294174209237	j	1	1	1
0	1	0.6	0.6	0.6	0.6	1	0	0	0	1	124	0.6	484.323600307107	k	2	1	1
0	2	0.2	0.4	0.6	0	0	5	1	0	1	125	0.4	555.045336484909	j	1	1	1
1	1	0.2	0.8	0.6	0.6	0	1	1	0	1	126	0.8	606.505300849676	k	2	1	1
0	1	0.2	1	0.8	0.4	1	0	0	1	1	127	1	598.456939682364	j	1	1	1
0	2	0.6	0.4	0.4	0.6	1	2	1	1	1	128	0.4	600.624850019813	k	2	1	1
1	1	0.2	0.6	1	0.8	0	1	1	0	1	129	0.6	441.937288269401	j	1	1	1
1	2	1	0.2	0.4	1	0	1	1	1	1	130	0.2	692.218348383904	k	2	1	1
0	2	0.4	0.8	0.2	0.6	0	0	0	1	1	131	0.4	451.715394854546	j	1	0	0
1	2	1	0.2	0.4	0.2	1	0	0	0	1	132	1	516.065439209342	j	1	0	1
1	2	1	1	1	0.4	0	0	0	0	1	133	1	415.93818180263	k	2	0	1
0	1	0.2	0.8	0.6	0.4	1	4	1	1	1	134	0.2	424.115201458335	k	2	0	0
1	2	0.8	0.2	1	1	1	1	1	0	1	135	0.8	552.697710692883	j	1	0	1
0	1	0.8	0.6	0.2	1	0	1	1	1	1	136	0.8	459.223564714193	j	1	0	1
0	2	0.8	0.4	0.8	0.2	0	1	1	1	1	137	0.8	444.317642599344	k	2	0	1
0	2	0.4	0.8	0.8	0.8	0	0	0	1	1	138	0.4	541.772829368711	j	1	0	1
1	1	0.2	1	0.8	0.8	0	2	1	1	1	139	0.2	839.834107086062	j	1	0	1
1	2	0.6	1	0.4	0.8	1	1	1	0	1	140	0.6	593.299992382526	j	1	0	1
0	1	0.6	0	0.2	0.4	1	1	1	1	1	141	0	570.237500593066	k	2	1	0
1	2	0.4	0.4	0.6	0.2	0	1	1	1	1	142	0.4	585.95615439117	k	2	0	1
1	1	0.4	0.6	0	0.6	0	1	1	1	1	143	0.4	539.604913443327	k	2	0	0
0	2	1	0.2	0.4	0	0	1	1	1	1	144	1	492.441749200225	j	1	0	1
0	2	0.6	0.4	1	0.4	0	0	0	1	1	145	0.6	613.818939775229	k	2	0	1
1	2	0.8	0.6	0.6	1	1	0	0	0	1	146	0.8	465.355444699526	k	2	0	1
0	1	0.6	0.8	0.4	0.4	1	3	1	1	1	147	0.6	458.334516733885	k	2	0	1
1	2	0	0.8	0.8	0.6	1	1	1	0	1	148	0	450.483083724976	j	1	0	1
0	2	0.8	1	0	0.6	0	0	0	1	1	149	0.8	597.530785948038	k	2	0	1
0	1	0.6	0.6	0.6	0.8	0	2	1	1	1	150	0.6	532.15866163373	j	1	0	1
0	2	0.4	0.6	0.8	0	0	1	1	0	1	151	0.4	480.298196896911	j	1	0	1
1	1	0	0.8	0.6	0.8	0	1	1	1	1	152	0	447.618156671524	k	2	0	1
0	2	0.4	0.4	0.4	0.6	0	1	1	1	1	153	0.4	362.180195748806	k	2	1	0
0	1	-0	0.4	0	0.4	1	1	1	1	1	154	0.4	737.992143258452	k	2	1	0
0	1	0.4	0.6	0.4	0.4	0	0	0	1	1	155	0.6	516.087748110294	j	1	1	1
0	1	0.2	0	0.6	0.4	0	0	0	0	1	156	0	556.179504841566	j	1	1	1
0	2	0.6	0.4	0.4	0	0	3	1	1	1	157	0.4	454.171003773808	j	1	1	1
1	1	0.2	0.6	0	0.6	0	1	1	0	1	158	0.6	465.611403807998	k	2	1	1
1	1	0.8	0.8	0.6	0.4	1	0	0	1	1	159	0.8	521.472051739693	j	1	1	1
0	1	0.6	-0	0.8	0.6	1	0	0	0	1	160	-0	492.117252200842	j	1	1	1
0	1	1	0.4	-0	0.8	0	0	0	0	1	161	1	412.935404106975	j	1	0	0
0	1	0.4	0.4	1	-0	0	0	0	0	1	162	0.4	349.374189972878	j	1	0	1
0	2	0.2	0.8	0.4	0	1	5	1	1	1	163	0.2	623.833199962974	j	1	0	0
1	2	0.2	0.2	0.2	0.4	0	0	0	1	1	164	0.2	776.877937838435	k	2	0	1
0	1	1	-0	0.4	1	0	2	1	0	1	165	-0	723.535023629665	j	1	1	0
0	2	0	0.4	0.2	0.2	1	1	1	0	1	166	0.4	498.289059847593	j	1	1	0
1	1	1	0.4	-0	0.2	0	1	1	1	1	167	1	373.19627776742	k	2	0	0
0	1	-0	0	1	0.4	1	0	0	1	1	168	-0	468.596398830414	j	1	0	1
1	2	0.6	1	0.4	-0	1	2	1	1	1	169	1	720.506647601724	j	1	1	1
1	1	0.8	-0	-0	1	0	1	1	0	1	170	0.8	503.205137327313	k	2	0	1
1	1	0.4	0.4	0.8	1	1	0	0	1	1	171	0.4	456.746032461524	j	1	0	1
0	1	0.4	0.4	0.4	0.8	1	0	0	0	1	172	0.4	722.437981516123	k	2	0	1
0	2	0	0.6	1	-0	0	3	1	1	1	173	0.6	549.671644344926	k	2	1	1
1	1	0.8	1	0.4	0.4	0	1	1	0	1	174	0.8	542.252773419023	k	2	0	1
1	2	0.4	0.4	0.6	0.4	1	1	1	1	1	175	0.4	486.989755183458	j	1	0	0
1	2	0.6	0.4	0.4	0.8	0	0	0	1	1	176	0.6	521.850181743503	j	1	0	1
0	1	1	1	0.8	0.6	1	2	1	1	1	177	1	539.153611287475	k	2	0	1
1	1	0	0.4	1	0.6	0	0	0	1	1	178	0	554.749241098762	j	1	0	1
0	2	0.6	0.6	0.6	0.4	1	2	1	0	1	179	0.6	502.007886767387	j	1	0	1
0	2	0.4	0.2	0.6	0	1	0	0	1	1	180	0.4	557.377517223358	j	1	0	1
0	2	0.2	1	0.4	0.6	0	0	0	0	1	181	1	496.492374688387	j	1	1	0
1	1	0.2	0.2	0	1	1	3	1	0	1	182	0.2	409.794008359313	j	1	1	0
0	1	0.4	0	0.2	1	1	0	0	1	1	183	0	412.44556568563	j	1	1	1
1	2	0.2	1	1	0.4	1	2	1	0	1	184	1	486.400108784437	j	1	1	1
1	1	0.8	0.4	0	0.2	0	1	1	0	1	185	0.8	479.514088481665	k	2	0	0
0	1	0	1	0.8	1	1	0	0	1	1	186	0	464.319555088878	k	2	0	1
1	2	0.4	0.8	1	0	0	2	1	1	1	187	0.8	465.562719851732	j	1	1	1
0	1	0.4	0.4	0	0.8	0	1	1	0	1	188	0.4	394.498124718666	k	2	0	1
1	2	0.4	0.8	0.8	0	0	1	1	1	1	189	0.4	547.683967277408	j	1	0	0
1	1	0.6	0.2	0.4	0.8	0	1	1	1	1	190	0.6	407.060099765658	k	2	0	1
0	1	0.8	0.6	0.6	0.4	1	0	0	1	1	191	0.8	421.636942774057	j	1	0	1
0	2	0	1	0.4	0.4	1	2	1	1	1	192	1	423.107143491507	k	2	1	0
1	2	0.4	1	1	0.8	0	0	0	1	1	193	1	393.070200458169	k	2	1	1
0	2	0.6	1	1	1	0	0	0	0	1	194	1	611.377691850066	k	2	1	1
1	2	-0	0	1	1	0	0	0	0	1	195	0	539.402719587088	j	1	1	1
0	1	1	0.4	0.8	0.6	0	4	1	0	1	196	1	613.023512065411	k	2	0	1
0	1	0.4	0.2	1	0	0	0	0	1	1	197	0.4	462.289873510599	j	1	0	1
1	2	0	0.8	0	1	1	2	1	0	1	198	0.8	535.563027486205	k	2	1	1
1	1	0.2	0	0.4	1	0	1	1	0	1	199	0.2	457.111839205027	j	1	0	1
0	2	0.2	0.8	0.8	0.4	1	1	1	1	1	200	0.8	584.975242614746	j	1	1	1
