MatOldNew	PairNum	Deck1Feedback	Deck2Feedback	Pay1Back	Pay1BackTrial	Mat1Back	DelayDecks	SwitchDecks	Switch1Back	Sub	Trial	RT	Resp	ChosenSide	choice	Stay
0	1	0.6	0.8	1	0.2	0	4	1	0	7	109	733.357858989621	k	2	0	1
0	2	1	0.4	0.6	0.6	1	1	1	0	7	110	682.396649994189	k	2	0	NaN
0	2	0.4	0.6	1	0.6	0	0	0	1	7	111	NaN	NaN	NaN	NaN	0
0	1	0.4	0.4	0.6	0.6	0	2	1	1	7	112	417.833147017518	j	1	0	1
1	1	0.6	0.6	0.4	NaN	0	0	0	1	7	113	495.841777999885	k	2	0	1
1	2	0.4	0.6	NaN	1	1	2	1	0	7	114	499.461808998603	j	1	0	0
1	2	1	0.2	0.4	0.6	1	0	0	1	7	115	579.621874989243	k	2	0	1
0	2	0.2	0	1	0.4	0	0	0	0	7	116	439.631660992745	j	1	0	1
1	1	0.6	-0	0.6	0.4	1	3	1	0	7	117	621.470998012228	j	1	0	1
0	2	0.6	0.4	0.2	1	0	1	1	0	7	118	720.36182298325	k	2	0	1
1	1	0.4	1	0.6	0.2	1	1	1	1	7	119	653.712110972265	j	1	1	0
0	1	0	0.8	1	0.6	1	0	0	1	7	120	675.520559016149	k	2	1	1
1	1	0	0.2	0.8	1	0	0	0	0	7	121	632.109997008229	k	2	1	1
0	2	0	0.6	0.6	0.6	0	3	1	1	7	122	613.037011993583	j	1	0	1
1	1	-0	0.2	0.2	0.8	1	1	1	0	7	123	924.528044997714	k	2	1	1
1	2	0.6	0.2	0	0.2	1	1	1	1	7	124	837.79105101712	j	1	1	0
0	2	0.4	0.6	0.2	0.2	1	0	0	1	7	125	949.288283998612	k	2	0	0
0	2	0.4	0.6	0.4	0.2	1	0	0	0	7	126	776.437840977451	k	2	0	1
1	2	0.6	0	0.4	0.4	0	0	0	0	7	127	582.901564019267	j	1	0	1
0	1	0	0.8	0.2	0	1	4	1	1	7	128	755.049150990089	j	1	0	0
1	1	0	0.6	0	0.6	0	0	0	1	7	129	575.231643015286	j	1	1	0
1	1	-0	0.4	0.6	0	1	0	0	0	7	130	732.334166008513	k	2	1	1
0	1	0	0.4	0.4	0.6	1	0	0	0	7	131	417.907092021778	j	1	1	1
1	2	0.6	0.4	0.6	0.4	1	4	1	0	7	132	321.912949002581	k	2	0	1
0	1	0.8	0.6	0.4	0.4	0	1	1	0	7	133	725.078308983939	k	2	1	1
1	1	0	0.6	0.6	0.6	0	0	0	1	7	134	504.353804979473	k	2	1	1
0	2	0.8	0.4	0.6	0.4	1	2	1	1	7	135	671.975780976936	j	1	1	0
0	2	0.8	0.8	0.4	0.6	0	0	0	1	7	136	803.995483001927	j	1	1	1
1	1	-0	0.6	0.6	0.6	1	2	1	0	7	137	538.556971994694	j	1	1	1
0	2	0.8	0.2	0.8	0.4	1	1	1	0	7	138	477.431445993716	k	2	1	1
0	1	0.8	0.6	0.6	0.8	1	1	1	1	7	139	796.34899602388	j	1	1	1
1	2	0.4	1	0.2	0.6	1	1	1	1	7	140	799.612425005762	k	2	1	1
0	2	0.8	0.2	1	0.6	0	0	0	1	7	141	572.161768999649	k	2	1	1
1	2	1	1	0.2	1	0	0	0	0	7	142	666.965409996919	j	1	1	1
1	1	-0	0.6	0.6	0.2	0	3	1	1	7	143	884.328429994639	j	1	0	0
0	2	0.6	0.4	1	0.2	1	1	1	0	7	144	933.235214004526	j	1	1	1
0	2	0.8	0.6	0.4	-0	1	0	0	1	7	145	658.203197992407	k	2	0	0
1	1	0.6	0.2	-0	1	1	2	1	1	7	146	687.79627000913	k	2	1	0
0	1	0.2	0.4	0.2	0.8	1	0	0	1	7	147	306.076601002133	j	1	0	0
0	1	0.4	0.8	0.2	0.2	0	0	0	0	7	148	552.898733003531	j	1	1	0
1	2	0.6	1	0.8	0.4	0	3	1	0	7	149	612.069282011362	k	2	0	1
1	1	1	0	0.8	0.2	0	1	1	0	7	150	684.28604901419	k	2	1	1
0	2	0.4	0.4	0.6	0.8	1	1	1	1	7	151	770.446771988645	k	2	0	1
1	2	0.8	0.4	0.4	0	1	0	0	1	7	152	550.991519994568	j	1	0	NaN
1	2	1	0.2	0.8	0.4	0	0	0	0	7	153	NaN	NaN	NaN	NaN	0
1	1	0.4	0.2	0	0.6	1	3	1	1	7	154	605.57763298857	k	2	1	1
0	1	0.6	0.4	0.2	NaN	1	0	0	1	7	155	755.968584009679	k	2	1	1
1	2	1	0.6	NaN	0.8	0	2	1	0	7	156	560.845410975162	j	1	1	0
1	2	0	0.8	0.6	0.4	1	0	0	1	7	157	733.328625996364	j	1	1	1
0	1	0.8	0.6	0.4	0.2	0	2	1	0	7	158	765.104600985069	k	2	0	0
1	1	1	0.4	0.8	0.8	0	0	0	1	7	159	334.097693004878	k	2	1	0
1	1	0.4	0.2	0.4	0.8	1	0	0	0	7	160	484.982274007052	j	1	0	0
0	2	0	0.8	0.8	0.6	1	3	1	0	7	161	483.20094999508	k	2	0	0
0	2	0.6	0.6	0	0.4	0	0	0	1	7	162	486.559507000493	j	1	1	NaN
0	1	0	0	0.4	0.4	1	2	1	0	7	163	741.331369994441	k	2	0	1
1	2	0.4	0.8	0.6	0	0	1	1	0	7	164	NaN	NaN	NaN	NaN	0
0	2	0.6	0.4	NaN	0	1	0	0	1	7	165	374.366709991591	j	1	0	0
0	1	0.2	0.2	0	0.6	0	2	1	1	7	166	531.913528015139	j	1	0	1
0	2	0.4	0.8	0.6	NaN	1	1	1	0	7	167	625.377440010197	j	1	0	1
